"governor.position","governor.word","governor.tag","governor.category","governors.parent.category","conjunction.word","conjunction.tag","coordination.category","coordinations.parent.category","antecedent.category","no.conjuncts","L.conjunct","L.category","L.head.word","L.head.tag","L.head.category","L.words","L.tokens","L.syllables","L.chars","R.conjunct","R.category","R.head.word","R.head.tag","R.head.category","R.words","R.tokens","R.syllables","R.chars","sentence","sent_id","double.governor"
"L","Posiada","fin:sg:ter:imperf","formaczas","fwe",",","interp","fno","fw","zdanie",3,"swoją dynamikę","fno","dynamikę","subst:sg:acc:f","formarzecz",2,2,6,14,"swoje etapy","fno","etapy","subst:pl:acc:m3","formarzecz",2,2,4,11,"Posiada swoją dynamikę, swój rytm, swoje etapy.","NKJP_1M_3301000001/morph_18-p/morph_18.66-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"Proszę pana","zdanie","Proszę","fin:sg:pri:imperf","formaczas",2,2,4,11,"na przestrzeni 2002 r. pan Jan Kulczyk poprzez firmy od niego zależne prowadził poufne rozmowy z reprezentantami kompanii Łukoil oraz Jukos","zdanie","prowadził","praet:sg:m1:imperf","formaczas",21,22,49,139,"Proszę pana, na przestrzeni 2002 r. pan Jan Kulczyk poprzez firmy od niego zależne prowadził poufne rozmowy z reprezentantami kompanii Łukoil oraz Jukos.","NKJP_1M_7123900001/morph_1-p/morph_1.26-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"Podnieśliśmy go","zdanie","Podnieśli~śmy","praet:pl:m1:perf~aglt:pl:pri:imperf:nwok","formaczas",2,3,5,15,"położyli na ławce","zdanie","położyli","praet:pl:m1:perf","formaczas",3,3,7,17,"Podnieśliśmy go, położyli na ławce.","NKJP_1M_MysliwskiTraktat/morph_8-p/morph_8.47-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"Panowie nie mieli najmniejszych problemów z dziwnie skleconą reprezentacją Reszty Świata","zdanie","mieli","praet:pl:m1:imperf","formaczas",11,11,27,88,"panie też gładko wygrały z osłabioną ekipą USA","zdanie","wygrały","praet:pl:f:perf","formaczas",8,8,15,46,"Panowie nie mieli najmniejszych problemów z dziwnie skleconą reprezentacją Reszty Świata, panie też gładko wygrały z osłabioną ekipą USA.","NKJP_1M_1305000001354/morph_1-p/morph_1.53-s",
"L","starały","praet:pl:f:imperf","formaczas","fwe",",","interp","fwe","fw","zdanie",2,"maksymalnie dostosować do nowej sytuacji","fwe","dostosować","inf:perf","formaczas",5,5,14,40,"zachowywać się naturalnie, nie okazywać zdziwienia, choć wszystko wokół było tak absurdalnie zaskakujące i trudne","fwe",",","interp","spójnik",15,17,36,113,"Bez wątpienia, Margaret i Dorothy starały się maksymalnie dostosować do nowej sytuacji, zachowywać się naturalnie, nie okazywać zdziwienia, choć wszystko wokół było tak absurdalnie zaskakujące i trudne.","NKJP_1M_2001000031/morph_1-p/morph_1.32-s",
"L",",","interp","spójnik","fwe",",","interp","fwe","fwe","fwe",2,"zachowywać się naturalnie","fwe","zachowywać","inf:imperf","formaczas",3,3,9,25,"nie okazywać zdziwienia","fwe","okazywać","inf:imperf","formaczas",3,3,7,23,"Bez wątpienia, Margaret i Dorothy starały się maksymalnie dostosować do nowej sytuacji, zachowywać się naturalnie, nie okazywać zdziwienia, choć wszystko wokół było tak absurdalnie zaskakujące i trudne.","NKJP_1M_2001000031/morph_1-p/morph_1.32-s",
"L","skryptu","subst:sg:gen:m3","formarzecz","fno",",","interp","fpm","fno","fno",2,"z kochanymi mężczyznami","fpm","z","prep:inst:nwok","przyimek",3,3,9,23,"z rozpoznanym źródłem w dzieciństwie","fpm","z","prep:inst:nwok","przyimek",5,5,11,36,"Na pierwszej stronie pierwszego zeszytu, wstrząśnięta, czytam precyzyjny opis mojego skryptu z kochanymi mężczyznami, z rozpoznanym źródłem w dzieciństwie!","NKJP_1M_2004000064/morph_5-p/morph_5.23-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"Największą energią dysponuje szermierz „na wydechu""","zdanie","dysponuje","fin:sg:ter:imperf","formaczas",6,8,15,51,"dlatego wszelkie rozstrzygające działania powinny mieć miejsce w tej fazie","zdanie","powinny","winien:pl:n:imperf","formaczas",10,10,23,74,"Największą energią dysponuje szermierz „na wydechu"", dlatego wszelkie rozstrzygające działania powinny mieć miejsce w tej fazie.","NKJP_1M_2004000013/morph_5-p/morph_5.37-s",
"R","wkracza","fin:sg:ter:imperf","formaczas","fwe",",","interp","fno","fl","zdanie",3,"Purpuraci z Kurii Rzymskiej","fno","Purpuraci","subst:pl:nom:m1","formarzecz",4,4,9,27,"członkowie Papieskiej Akademii Nauk","fno","członkowie","subst:pl:nom:m1","formarzecz",4,4,11,35,"Purpuraci z Kurii Rzymskiej, korpus dyplomatyczny akredytowany przy Stolicy Apostolskiej, członkowie Papieskiej Akademii Nauk, w końcu wkracza sam papież, Jan Paweł II.","NKJP_1M_2004000004/morph_2-p/morph_2.36-s",
"L","powiedziane","ppas:sg:nom:n:perf:aff","formaprzym","fpt",",","interp","zdanie","fw","fpt",2,"nie jesteśmy Innym","zdanie","jesteśmy","fin:pl:pri:imperf","formaczas",3,3,6,18,"jesteśmy tym samym, czym jesteście wy","zdanie","jesteśmy","fin:pl:pri:imperf","formaczas",6,7,12,37,"Zostało więc powiedziane: nie jesteśmy Innym, jesteśmy tym samym, czym jesteście wy.","NKJP_1M_2004000004/morph_5-p/morph_5.16-s",
"L","samochodów","subst:pl:gen:m3","formarzecz","fno",",","interp","fpt","fno","fno",2,"niesprawnych","fpt","niesprawnych","adj:pl:gen:m3:pos","formaprzym",1,1,3,12,"złomowanych","fpt","złomowanych","ppas:pl:gen:m3:imperf:aff","formaprzym",1,1,4,11,"Domagali się dopuszczenia sprowadzania na polski rynek samochodów niesprawnych, złomowanych, czego kilka miesięcy temu zabronił polski rząd.","NKJP_1M_1305000000610/morph_1-p/morph_1.50-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"Idę w ślady ojca","zdanie","Idę","fin:sg:pri:imperf","formaczas",4,4,6,16,"on też kucharzy","zdanie","kucharzy","fin:sg:ter:imperf","formaczas",3,3,5,15,"- Idę w ślady ojca, on też kucharzy.","NKJP_1M_1202900128/morph_7-p/morph_7.48-s",
"R","oczy","subst:pl:nom:n","formarzecz","fno",",","interp","fpt","fno","fno",2,"szkliste","fpt","szkliste","adj:pl:nom:n:pos","formaprzym",1,1,2,8,"bladoniebieskie","fpt","bladoniebieskie","adj:pl:nom:n:pos","formaprzym",1,1,5,15,"W jej twarzy, mokrej od łez rozmazanych i czerwonej, tężały w osłupieniu szkliste, bladoniebieskie oczy.","NKJP_1M_0302000000008/morph_9-p/morph_9.43-s",
"L","Kazał","praet:sg:m1:perf","formaczas","fwe",",","interp","fwe","fw","zdanie",2,"odkopać","fwe","odkopać","inf:perf","formaczas",1,1,3,7,"znowu zdrenować","fwe","zdrenować","inf:perf","formaczas",2,2,5,15,"Kazał odkopać, znowu zdrenować.","NKJP_1M_BrukowiecOchlanski/morph_11-p/morph_11.13-s",
0,,,,,",","interp","fno","fw",,4,"Dyrektor","fno","Dyrektor","subst:sg:nom:m1","formarzecz",1,1,3,8,"jego goście","fno","goście","subst:pl:nom:m1","formarzecz",2,2,4,11,"Dyrektor, jego muzeum, jego wino, jego goście.","NKJP_1M_BrukowiecOchlanski/morph_2-p/morph_2.46-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,3,"Swoja drogą możnaby przełożyć ją na lato","zdanie","można~by","pred~qub","formaczas",7,8,14,40,"przynajmniej wino nie byłoby takie cierpkie","zdanie","by","qub","condaglt",6,7,13,43,"Swoja drogą można by przełożyć ją na lato, można by tłoczyć jakieś bułgarskie winogrona, przynajmniej wino nie byłoby takie cierpkie.","NKJP_1M_BrukowiecOchlanski/morph_2-p/morph_2.35-s",
"R","powiedział","praet:sg:m1:perf","formaczas","fwe",",","interp","zdanie","fw","zdanie",2,"Pomóż mi","zdanie","Pomóż","impt:sg:sec:perf","formaczas",2,2,3,8,"muszę wyjść","zdanie","muszę","fin:sg:pri:imperf","formaczas",2,2,3,11,"- Pomóż mi, muszę wyjść - powiedział.","NKJP_1M_2002000079/morph_8-p/morph_8.9-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"Jego twarz jest zazwyczaj dość blada","zdanie","jest","fin:sg:ter:imperf","formaczas",6,6,10,36,"czasami ma nieco zielonkawy odcień","zdanie","ma","fin:sg:ter:imperf","formaczas",5,5,12,34,"- Jego twarz jest zazwyczaj dość blada, czasami ma nieco zielonkawy odcień.","NKJP_1M_2002000147/morph_2-p/morph_2.43-s",
"L","Widział","praet:sg:m1:imperf","formaczas","fwe",",","interp","fps","fw","zdanie",2,"wyraźniej","fps","wyraźniej","adv:com","formaprzys",1,1,3,9,"ostrzej","fps","ostrzej","adv:com","formaprzys",1,1,1,7,"Widział wszystko wyraźniej, ostrzej i wszystko wydawało mu się niewiarygodnie łatwe do osiągnięcia.","NKJP_1M_2002000095/morph_2-p/morph_2.46-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"Gramy Beethovena","zdanie","Gramy","fin:pl:pri:imperf","formaczas",2,2,5,16,"dziś nawet idą tradycyjnie koncerty fortepianowe","zdanie","idą","fin:pl:ter:imperf","formaczas",6,6,16,48,"Gramy Beethovena, dziś nawet idą tradycyjnie koncerty fortepianowe.","NKJP_1M_2002000000213/morph_10-p/morph_10.10-s",
"R","zakonnik","subst:sg:nom:m1","formarzecz","fno",",","interp","fpt","fno","fno",2,"drugi","fpt","drugi","adj:sg:nom:m1:pos","formaprzym",1,1,2,5,"zaprzyjaźniony","fpt","zaprzyjaźniony","adj:sg:nom:m1:pos","formaprzym",1,1,5,14,"Mówi, że ten drugi, zaprzyjaźniony zakonnik wychodzi w przyszłym tygodniu.","NKJP_1M_2002000000213/morph_10-p/morph_10.23-s",
"L","Widać","pred","formaczas","fwe",",","interp","fzd","fw","zdanie",2,", jak w obcowaniu z tak niezwykłym człowiekiem, jakim był Czapski, Anna Kowalska odżywa po dusznej atmosferze kraju","fzd","odżywa","fin:sg:ter:imperf","formaczas",18,20,38,115,"jak wraca do równowagi ducha","fzd","wraca","fin:sg:ter:imperf","formaczas",5,5,10,28,"Widać z tych zapisków, jak w obcowaniu z tak niezwykłym człowiekiem, jakim był Czapski, Anna Kowalska odżywa po dusznej atmosferze kraju, jak wraca do równowagi ducha.","NKJP_1M_0404000000100/morph_2-p/morph_2.31-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"Uprzątnięto stragany","zdanie","Uprzątnięto","imps:perf","formaczas",2,2,6,20,"deszcz zmył kamienną posadzkę","zdanie","zmył","praet:sg:m3:perf","formaczas",4,4,8,29,"Uprzątnięto stragany, deszcz zmył kamienną posadzkę.","NKJP_1M_2002000142/morph_9-p/morph_9.17-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"W pokoju pociemniało","zdanie","pociemniało","praet:sg:n:perf","formaczas",3,3,8,20,"witraże w suficie zgasły","zdanie","zgasły","praet:pl:m3:perf","formaczas",4,4,9,24,"W pokoju pociemniało, witraże w suficie zgasły.","NKJP_1M_2002000142/morph_10-p/morph_10.50-s",
"L","chłopaków","subst:pl:gen:m1","formarzecz","fno",",","interp","fpm","fno","fno",2,"w dżinsach i adidasach","fpm","w","prep:loc:nwok","przyimek",4,4,7,22,"z białymi opaskami na włosach","fpm","z","prep:inst:nwok","przyimek",5,5,10,29,"Z minibusu dwóch chłopaków w dżinsach i adidasach, z białymi opaskami na włosach wyprowadza grubą kobietę w łachmanach.","NKJP_1M_2002000142/morph_6-p/morph_6.61-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"Wiem","zdanie","Wiem","fin:sg:pri:imperf","formaczas",1,1,1,4,"Jakub mi mówił","zdanie","mówił","praet:sg:m1:imperf","formaczas",3,3,5,14,"- Wiem, Jakub mi mówił.","NKJP_1M_2002000142/morph_5-p/morph_5.53-s",
"R","łączyła","praet:sg:f:imperf","formaczas","fwe",",","interp","fpm","fl","zdanie",5,"W Polsce","fpm","W","prep:loc:nwok","przyimek",2,2,3,8,"na Kaukazie","fpm","na","prep:loc","przyimek",2,2,4,11,"W Polsce, na Ukrainie, na Łotwie, w Estonii, na Kaukazie walka o wyzwolenie społeczne łączyła się z walką o wolność narodową.","NKJP_1M_3102000000042/morph_8-p/morph_8.37-s",
"L","Były","praet:pl:f:imperf","formaczas","fwe",",","interp","fpt","fw","zdanie",2,"niezwykle rzadkie","fpt","rzadkie","adj:pl:nom:f:pos","formaprzym",2,2,5,17,"nadające świątyni szczególne miejsce wśród wszystkich miejsc kultu na Pomorzu Gdańskim","fpt","nadające","pact:pl:nom:f:imperf:aff","formaprzym",11,11,24,86,"Były one niezwykle rzadkie, nadające świątyni szczególne miejsce wśród wszystkich miejsc kultu na Pomorzu Gdańskim.","NKJP_1M_GazetaTczewska/morph_17-p/morph_17.64-s",
"R","i","conj","spójnik","fno",",","interp","fno","fno","fno",3,"bab","fno","bab","subst:pl:gen:f","formarzecz",1,1,1,3,"ciast","fno","ciast","subst:pl:gen:n","formarzecz",1,1,1,5,"Formy postu i umartwień ulegały złagodzeniu w dniu Niedzieli Palmowej, kiedy na Kociewiu urządzano kiermasze z umiarkowaną konsumpcją upieczonych bab, mazurków, ciast i innych dań.","NKJP_1M_GazetaTczewska/morph_15-p/morph_15.29-s",
"L","ma","fin:sg:ter:imperf","formaczas","fwe",",","interp","fno","fw","zdanie",2,"zawroty głowy","fno","zawroty","subst:pl:acc:m3","formarzecz",2,2,5,13,"drżenie ręki","fno","drżenie","subst:sg:acc:n","formarzecz",2,2,4,12,"Od tego czasu pani Wanda ma zawroty głowy, drżenie ręki.","NKJP_1M_GazetaTczewska/morph_48-p/morph_48.12-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"Próbuje usprawiedliwiać rodzinę","zdanie","Próbuje","fin:sg:ter:imperf","formaczas",3,3,10,31,"mówi, że kłopoty ze zdrowiem może mieć od cukrzycy","zdanie","mówi","fin:sg:ter:imperf","formaczas",9,10,16,50,"Próbuje usprawiedliwiać rodzinę, mówi, że kłopoty ze zdrowiem może mieć od cukrzycy...","NKJP_1M_GazetaTczewska/morph_48-p/morph_48.29-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,3,"Siedzimy naprzeciw siebie","zdanie","Siedzimy","fin:pl:pri:imperf","formaczas",3,3,8,25,"jemy piernik domowego wypieku","zdanie","jemy","fin:pl:pri:imperf","formaczas",4,4,11,29,"Siedzimy naprzeciw siebie, pijemy herbatę, jemy piernik domowego wypieku.","NKJP_1M_1102000024/morph_1-p/morph_1.19-s",
0,,,,,",","interp","zdanie","wypowiedzenie",,2,"Kazimierz Laudański i jego bracia to znani w okolicy pszczelarze","zdanie","to","pred","formaczas",10,10,22,64,"klienci przyjeżdżają aż z Niemiec po miód","zdanie","przyjeżdżają","fin:pl:ter:imperf","formaczas",7,7,12,41,"Kazimierz Laudański i jego bracia to znani w okolicy pszczelarze, klienci przyjeżdżają aż z Niemiec po miód.","NKJP_1M_1102000024/morph_1-p/morph_1.38-s",
"L","pytanie","subst:sg:nom:n","formarzecz","fno",",","interp","fzd","fw","fno",2,", czy tego rodzaju nagromadzenie znamiennego środka językowo-stylistycznego stanowi osobiste odkrycie poetyckie Władysława Broniewskiego","fzd","stanowi","fin:sg:ter:imperf","formaczas",14,14,47,136,"czy też w jakiś sposób dzieli on je ze współczesnymi","fzd","dzieli","fin:sg:ter:imperf","formaczas",10,10,16,52,"Powstaje pytanie, czy tego rodzaju nagromadzenie znamiennego środka językowo-stylistycznego stanowi osobiste odkrycie poetyckie Władysława Broniewskiego, czy też w jakiś sposób dzieli on je ze współczesnymi.","NKJP_1M_0402000007/morph_9-p/morph_9.28-s",
0,,,,,",","interp","fpm","fl",,2,"Z trwogą","fpm","Z","prep:inst:nwok","przyimek",2,2,3,8,"z drżeniem","fpm","z","prep:inst:nwok","przyimek",2,2,3,10,"Z trwogą, z drżeniem!","NKJP_1M_0402000007/morph_2-p/morph_2.35-s",
"L","Działa","fin:sg:ter:imperf","formaczas","fwe",",","interp","fpm","fw","zdanie",2,"w Polsce","fpm","w","prep:loc:nwok","przyimek",2,2,3,8,"w okolicach Kielc","fpm","w","prep:loc:nwok","przyimek",3,3,5,17,"Działa w Polsce, w okolicach Kielc.","NKJP_1M_0402000009/morph_2-p/morph_2.61-s",
"L","z","prep:inst:nwok","przyimek","fpm",",","interp","fno","fpm","fpm",2,"płytkimi ryzalitami","fno","ryzalitami","subst:pl:inst:m3","formarzecz",2,2,8,19,"pilastrami korynckimi","fno","pilastrami","subst:pl:inst:m3","formarzecz",2,2,8,21,"Elewacje z płytkimi ryzalitami, pilastrami korynckimi i z dekoracją roślinną, gzyms profilowany i trójkątne przyczółki.","NKJP_1M_3302000000027/morph_9-p/morph_9.43-s",
"L","odbudowę","subst:sg:acc:f","formarzecz","fno",",","interp","fno","fno","fno",2,"miasta","fno","miasta","subst:sg:gen:n","formarzecz",1,1,2,6,"zwłaszcza jego historycznych zabytków","fno","zabytków","subst:pl:gen:m3","formarzecz",4,4,11,37,"Po 1945 rozpoczęto odbudowę miasta, zwłaszcza jego historycznych zabytków.","NKJP_1M_3302000000027/morph_39-p/morph_39.36-s",
